#MDstep	 Temp		 PE	 	KE		 TotEner
 5	  299.542969	 -138486.897976	 3558.979646	 -134927.918330 
10	  298.319794	 -138472.487052	 3544.446706	 -134928.040346 
15	  298.182800	 -138453.393383	 3542.818927	 -134910.574455 
20	  297.095612	 -138440.505654	 3529.901860	 -134910.603794 
25	  298.469391	 -138424.815241	 3546.224148	 -134878.591094 
30	  297.628082	 -138414.871774	 3536.228383	 -134878.643391 
35	  299.116180	 -138406.824322	 3553.909025	 -134852.915297 
40	  298.122284	 -138394.934924	 3542.100099	 -134852.834825 
45	  298.868774	 -138384.026183	 3550.969427	 -134833.056756 
50	  297.351166	 -138365.820272	 3532.938296	 -134832.881976 
55	  298.751801	 -138353.414153	 3549.579460	 -134803.834693 
60	  297.563904	 -138339.119835	 3535.465913	 -134803.653922 
65	  298.991852	 -138329.611423	 3552.431583	 -134777.179840 
70	  298.693298	 -138325.994614	 3548.884691	 -134777.109923 
75	  299.767181	 -138325.575886	 3561.643788	 -134763.932098 
80	  300.871643	 -138338.777777	 3574.766171	 -134764.011606 
85	  301.112305	 -138354.309530	 3577.625467	 -134776.684062 
90	  303.234131	 -138379.644689	 3602.835827	 -134776.808861 
95	  301.812012	 -138403.746861	 3585.938990	 -134817.807872 
100	  303.939545	 -138428.848196	 3611.217021	 -134817.631174 
105	  302.100739	 -138456.114130	 3589.369654	 -134866.744476 
110	  303.766937	 -138475.660160	 3609.166278	 -134866.493882 
115	  301.491028	 -138495.932280	 3582.125349	 -134913.806931 
120	  302.256592	 -138504.821156	 3591.221346	 -134913.599810 
125	  300.436157	 -138512.559324	 3569.592167	 -134942.967156 
130	  300.448364	 -138512.665990	 3569.737139	 -134942.928851 
135	  299.477692	 -138508.925640	 3558.204334	 -134950.721306 
140	  299.163849	 -138505.295899	 3554.475129	 -134950.820770 
145	  298.741272	 -138492.711731	 3549.454506	 -134943.257225 
150	  297.987579	 -138483.640875	 3540.499787	 -134943.141088 
155	  298.559235	 -138468.786820	 3547.291479	 -134921.495340 
160	  297.920258	 -138461.285640	 3539.699727	 -134921.585913 
165	  299.157379	 -138453.690453	 3554.398599	 -134899.291854 
170	  298.667542	 -138447.901536	 3548.578489	 -134899.323048 
175	  299.666565	 -138446.381177	 3560.448217	 -134885.932960 
180	  299.165436	 -138440.283677	 3554.494289	 -134885.789388 
185	  299.637360	 -138438.445597	 3560.101371	 -134878.344225 
190	  298.659668	 -138426.755156	 3548.484944	 -134878.270212 
195	  298.751770	 -138414.577913	 3549.579089	 -134864.998824 
200	  296.910797	 -138392.481857	 3527.705911	 -134864.775947 
205	  297.448822	 -138364.464988	 3534.098411	 -134830.366576 
210	  295.249390	 -138338.391841	 3507.966306	 -134830.425535 
215	  297.527191	 -138311.375683	 3535.029735	 -134776.345948 
220	  296.594025	 -138300.388739	 3523.942326	 -134776.446413 
225	  299.335602	 -138294.781231	 3556.515948	 -134738.265283 
230	  300.303833	 -138306.299772	 3568.019899	 -134738.279873 
235	  301.198700	 -138323.146214	 3578.652123	 -134744.494091 
240	  302.789032	 -138341.935430	 3597.547425	 -134744.388005 
245	  301.521240	 -138362.675610	 3582.484470	 -134780.191140 
250	  302.341125	 -138372.347380	 3592.225763	 -134780.121618 
255	  300.631256	 -138382.649444	 3571.910062	 -134810.739382 
260	  300.276398	 -138378.362784	 3567.693776	 -134810.669009 
265	  299.390869	 -138373.572063	 3557.172626	 -134816.399437 
270	  298.169342	 -138359.085653	 3542.659083	 -134816.426569 
275	  298.144318	 -138339.604966	 3542.361947	 -134797.243019 
280	  296.809906	 -138323.998657	 3526.507279	 -134797.491378 
285	  298.237457	 -138305.340697	 3543.468371	 -134761.872327 
290	  297.899628	 -138301.376692	 3539.454746	 -134761.921946 
295	  299.483734	 -138297.545214	 3558.275875	 -134739.269339 
300	  300.225861	 -138306.557451	 3567.093341	 -134739.464110 
305	  300.194489	 -138311.512929	 3566.720672	 -134744.792257 
310	  300.284668	 -138312.792178	 3567.792215	 -134744.999963 
315	  299.799225	 -138313.028147	 3562.024285	 -134751.003862 
320	  299.221893	 -138305.981670	 3555.165061	 -134750.816609 
325	  300.290771	 -138311.974326	 3567.864581	 -134744.109745 
330	  300.976257	 -138319.972149	 3576.009300	 -134743.962850 
335	  301.636963	 -138342.163874	 3583.859294	 -134758.304581 
340	  303.388977	 -138362.972947	 3604.675476	 -134758.297471 
345	  301.309357	 -138380.951492	 3579.966833	 -134800.984660 
350	  302.311584	 -138393.062863	 3591.874685	 -134801.188178 
355	  299.436340	 -138388.911592	 3557.713048	 -134831.198544 
360	  298.871185	 -138382.296688	 3550.997885	 -134831.298803 
365	  297.981262	 -138360.750600	 3540.424640	 -134820.325960 
370	  296.269531	 -138340.496648	 3520.086868	 -134820.409780 
375	  297.577240	 -138313.909056	 3535.624297	 -134778.284759 
380	  295.754944	 -138292.337698	 3513.972851	 -134778.364847 
385	  298.644196	 -138278.761731	 3548.301260	 -134730.460471 
390	  297.670349	 -138267.147836	 3536.730650	 -134730.417187 
395	  299.910309	 -138268.605675	 3563.344216	 -134705.261459 
400	  299.741943	 -138266.401045	 3561.343870	 -134705.057175 
405	  300.460999	 -138274.573099	 3569.887349	 -134704.685751 
410	  300.830536	 -138278.730077	 3574.277644	 -134704.452433 
415	  300.626068	 -138288.652467	 3571.848539	 -134716.803928 
420	  301.865845	 -138303.466847	 3586.578820	 -134716.888027 
425	  301.194305	 -138319.974312	 3578.599960	 -134741.374351 
430	  303.641113	 -138349.259245	 3607.671267	 -134741.587978 
